,date,open,close,high,low,volume,uOpen,uClose,uHigh,uLow,uVolume,change,changePercent,label,changeOverTime
0,2019-10-08,56.46,56.1,57.02,56.08,117130800,225.82,224.4,228.06,224.33,29282700,0.0,0.0,"Oct 8, 19",0.0
1,2019-10-09,56.76,56.76,56.95,56.41,76117696,227.03,227.03,227.79,225.64,19029424,0.66,1.172,"Oct 9, 19",0.011720000000000001
2,2019-10-10,56.98,57.52,57.61,56.83,115851936,227.93,230.09,230.44,227.3,28962984,0.77,1.3477999999999999,"Oct 10, 19",0.025356999999999998
3,2019-10-11,58.24,59.05,59.41,58.08,167960840,232.95,236.21,237.64,232.31,41990210,1.53,2.6598,"Oct 11, 19",0.052628999999999995
4,2019-10-14,58.73,58.97,59.53,58.67,97653936,234.9,235.87,238.13,234.67,24413484,-0.08,-0.1439,"Oct 14, 19",0.051114
5,2019-10-15,59.1,58.83,59.41,58.72,92161932,236.39,235.32,237.65,234.88,23040483,-0.14,-0.23320000000000002,"Oct 15, 19",0.048663
6,2019-10-16,58.34,58.59,58.81,58.3,77146776,233.37,234.37,235.24,233.2,19286694,-0.24,-0.4037,"Oct 16, 19",0.044430000000000004
7,2019-10-17,58.77,58.82,59.04,58.38,69091588,235.09,235.28,236.15,233.52,17272897,0.23,0.38830000000000003,"Oct 17, 19",0.048485
8,2019-10-18,58.65,59.1,59.4,58.57,97508664,234.59,236.41,237.58,234.29,24377166,0.28,0.4803,"Oct 18, 19",0.053520000000000005
9,2019-10-21,59.38,60.13,60.25,59.33,89469932,237.52,240.51,240.99,237.32,22367483,1.03,1.7343000000000002,"Oct 21, 19",0.071791
10,2019-10-22,60.29,59.99,60.55,59.91,90736004,241.16,239.96,242.2,239.62,22684001,-0.14,-0.22870000000000001,"Oct 22, 19",0.06934
11,2019-10-23,60.53,60.8,60.81,60.31,79730180,242.1,243.18,243.24,241.22,19932545,0.81,1.3419,"Oct 23, 19",0.08369
12,2019-10-24,61.13,60.9,61.2,60.45,71665020,244.51,243.58,244.8,241.81,17916255,0.1,0.1645,"Oct 24, 19",0.08547199999999999
13,2019-10-25,60.79,61.65,61.68,60.72,73477184,243.16,246.58,246.73,242.88,18369296,0.75,1.2316,"Oct 25, 19",0.098841
14,2019-10-28,61.86,62.26,62.31,61.68,96572964,247.42,249.05,249.25,246.72,24143241,0.62,1.0017,"Oct 28, 19",0.109848
15,2019-10-29,62.24,60.82,62.44,60.64,142839468,248.97,243.29,249.75,242.57,35709867,-1.44,-2.3128,"Oct 29, 19",0.08418
16,2019-10-30,61.19,60.82,61.33,60.3,124522088,244.76,243.26,245.3,241.21,31130522,-0.01,-0.0123,"Oct 30, 19",0.084046
17,2019-10-31,61.81,62.19,62.29,59.32,139162080,247.24,248.76,249.17,237.26,34790520,1.38,2.261,"Oct 31, 19",0.108556
18,2019-11-01,62.39,63.96,63.98,62.29,151125336,249.54,255.82,255.93,249.16,37781334,1.77,2.8381,"Nov 1, 19",0.140018
19,2019-11-04,64.33,64.38,64.46,63.85,103271808,257.33,257.5,257.85,255.38,25817952,0.42,0.6567000000000001,"Nov 4, 19",0.147504
20,2019-11-05,64.26,64.28,64.55,64.08,79897708,257.05,257.13,258.19,256.32,19974427,-0.09,-0.1437,"Nov 5, 19",0.14585599999999999
21,2019-11-06,64.19,64.31,64.37,63.84,75864496,256.77,257.24,257.49,255.37,18966124,0.03,0.042800000000000005,"Nov 6, 19",0.146346
22,2019-11-07,64.69,64.86,65.09,64.53,94940332,258.74,259.43,260.35,258.11,23735083,0.55,0.8513000000000001,"Nov 7, 19",0.156105
23,2019-11-08,64.67,65.04,65.11,64.21,70081980,258.69,260.14,260.44,256.85,17520495,0.18,0.2737,"Nov 8, 19",0.159269
24,2019-11-11,64.58,65.55,65.62,64.57,82029836,258.3,262.2,262.47,258.28,20507459,0.52,0.7919,"Nov 11, 19",0.168449
25,2019-11-12,65.39,65.49,65.7,65.23,87388904,261.55,261.96,262.79,260.92,21847226,-0.06,-0.0915,"Nov 12, 19",0.16738
26,2019-11-13,65.28,66.12,66.2,65.27,103270372,261.13,264.47,264.78,261.07,25817593,0.63,0.9582,"Nov 13, 19",0.178565
27,2019-11-14,65.94,65.66,66.22,65.53,89582224,263.75,262.64,264.88,262.1,22395556,-0.46,-0.6919000000000001,"Nov 14, 19",0.17041
28,2019-11-15,65.92,66.44,66.45,65.75,100374664,263.68,265.76,265.78,263.01,25093666,0.78,1.1879,"Nov 15, 19",0.18431399999999998
29,2019-11-18,66.45,66.78,66.86,66.06,86803588,265.8,267.1,267.43,264.23,21700897,0.34,0.5042,"Nov 18, 19",0.19028499999999998
30,2019-11-19,66.98,66.57,67.0,66.35,76278388,267.9,266.29,268.0,265.39,19069597,-0.2,-0.3033,"Nov 19, 19",0.18667599999999998
31,2019-11-20,66.39,65.8,66.52,65.1,106439676,265.54,263.19,266.08,260.4,26609919,-0.77,-1.1641,"Nov 20, 19",0.172861
32,2019-11-21,65.92,65.5,66.0,65.3,121395112,263.69,262.01,264.01,261.18,30348778,-0.29,-0.44830000000000003,"Nov 21, 19",0.167602
33,2019-11-22,65.65,65.45,65.8,65.21,65325052,262.59,261.78,263.18,260.84,16331263,-0.06,-0.0878,"Nov 22, 19",0.166578
34,2019-11-25,65.68,66.59,66.61,65.63,84118068,262.71,266.37,266.44,262.52,21029517,1.15,1.7534,"Nov 25, 19",0.187032
35,2019-11-26,66.74,66.07,66.79,65.63,105339528,266.94,264.29,267.16,262.5,26334882,-0.52,-0.7809,"Nov 26, 19",0.177763
36,2019-11-27,66.4,66.96,67.0,66.33,65544488,265.58,267.84,267.98,265.31,16386122,0.89,1.3432,"Nov 27, 19",0.193583
37,2019-11-29,66.65,66.81,67.0,66.48,46617452,266.6,267.25,268.0,265.9,11654363,-0.15,-0.22030000000000002,"Nov 29, 19",0.19095399999999998
38,2019-12-02,66.82,66.04,67.06,65.86,94774200,267.27,264.16,268.25,263.45,23693550,-0.77,-1.1562000000000001,"Dec 2, 19",0.17718399999999998
39,2019-12-03,64.58,64.86,64.88,64.07,117509072,258.31,259.45,259.53,256.29,29377268,-1.18,-1.783,"Dec 3, 19",0.156194
40,2019-12-04,65.27,65.44,65.83,65.17,67241552,261.07,261.74,263.31,260.68,16810388,0.5700000000000001,0.8826,"Dec 4, 19",0.166399
41,2019-12-05,65.95,66.4,66.47,65.68,74645372,263.79,265.58,265.89,262.73,18661343,0.96,1.4671,"Dec 5, 19",0.18351199999999998
42,2019-12-06,66.87,67.68,67.75,66.83,106189972,267.48,270.71,271.0,267.3,26547493,1.28,1.9316,"Dec 6, 19",0.206373
43,2019-12-09,67.5,66.73,67.7,66.23,128730580,270.0,266.92,270.8,264.91,32182645,-0.9500000000000001,-1.4,"Dec 9, 19",0.18948299999999998
